trip_id,avg_speed,avg_acceleration,brake_events,distance_km,night_drive,risk_score
1,50.78647091411705,0.4190760364924119,2,83.24318067425627,0,26.93011043378231
2,49.07583608123605,0.2138717271159841,5,45.149739791273376,1,26.84668200478586
3,42.50563188505404,0.2431036556264269,6,60.855092143337735,1,35.52133146797533
4,68.7022669658677,0.6536446277324174,3,88.28938557461704,1,32.5900743523058
5,61.12067731208522,0.7117775238147965,8,66.92049143507887,1,48.96600171660943
6,51.47035002820107,0.5948066855637226,3,93.13466712715316,1,33.62115263727512
7,69.8845161326431,0.2344648556252884,6,38.01488582364435,1,41.725641243649136
8,38.51494378202885,0.3050144983502013,5,17.921098599396377,1,27.55519468867389
9,45.0066650828851,0.6490757147239572,9,88.76722557817409,1,41.80667105784725
10,12.203982732978776,0.4679023156211674,7,10.815649831775763,1,27.15461340830865
11,44.54579345195141,0.6941598251378757,7,50.359811494126845,0,41.25128776128044
12,57.81756884313823,0.4836528650460019,1,21.94925018990768,0,27.97691857163036
13,62.32407574191717,0.6852766022026489,6,62.36758974803509,0,49.53759757481155
14,86.74725279459379,0.6667193451621832,0,51.73207339384327,0,38.872677794936
15,72.82352925513311,0.5105972908185207,9,75.12830171307257,1,51.751422844723486
16,45.71926694618614,0.7492110020555478,8,64.5390333390771,1,38.28536482095027
17,49.320861233674314,0.6658867125229948,3,52.47826270630553,0,31.722555105438204
18,81.44002722698743,0.343977696186348,7,16.868801588626543,0,54.96361956306683
19,73.15275442545061,0.6555515950029942,0,98.9728807076815,1,37.55387404848035
20,55.40056776199267,0.6319531882155471,7,18.369851760890192,1,48.2669360414267
21,57.4062020248667,0.3845078361515361,4,56.27915744825734,0,23.755853416645408
22,62.57267157232801,0.7274020053508129,4,92.21557889460009,0,34.69862827826131
23,66.62813071638669,0.5514182639483933,7,12.328627267650422,0,29.824035826853898
24,56.5037596390586,0.5906753241629923,8,37.24345606516657,1,51.445152429242995
25,62.520693587850786,0.2582822827277165,7,44.12424033910105,1,44.79487403784069
26,56.86039307020915,0.5588297685407422,4,44.00800946640721,1,46.072280421014554
27,58.30721445020057,0.4438389871469481,1,32.55440031486165,0,27.211359662042142
28,73.82086201703801,0.2905841685271667,2,28.092843892859293,1,32.153194960631495
29,92.29236804761484,0.1802127464854813,0,30.03890542470285,1,29.999880201801755
30,54.94391417679595,0.5800460275787249,4,41.14315983488463,1,41.0555826570084
31,110.7290007430929,0.5183762164826017,5,54.69353372261944,0,53.49213976987285
32,64.86434011817619,0.6478178515604024,9,47.54180251961952,0,50.06753897571631
